ENGLISH,county,C19_P14_T
CORCA DHUIBHNE LEA-3,KERRY,42
WESTPORT LEA-4,MAYO,78
CARRICK-ON-SHANNON LEA-6,LEITRIM,18
KILLINEY-SHANKILL ,DUBLIN,124
TALLAGHT SOUTH ,DUBLIN,255
CAHIR LEA-4,TIPPERARY,50
GLENCULLEN-SANDYFORD ,DUBLIN,130
ARTANE-WHITEHALL ,DUBLIN,304
CARRICKMACROSS-CASTLEBLAYNEY LEA-6,MONAGHAN,235
SLIGO-DRUMCLIFF LEA-5,SLIGO,44
SWORDS ,DUBLIN,303
SHANNON LEA-7,CLARE,73
CORK CITY SOUTH CENTRAL LEA-6,CORK,126
ONGAR ,DUBLIN,204
BANTRY-WEST CORK LEA-4,CORK,101
ENNIS LEA-7,CLARE,120
CASTLEBAR LEA-7,MAYO,279
MULLINGAR LEA-6,WESTMEATH,88
CAPPAMORE-KILMALLOCK LEA-7,LIMERICK,156
BLACKROCK ,DUBLIN,123
GLENTIES LEA-6,DONEGAL,91
BUNCRANA LEA-5,DONEGAL,64
DÚN LAOGHAIRE ,DUBLIN,189
SLIGO-STRANDHILL LEA-6,SLIGO,104
LETTERKENNY LEA-7,DONEGAL,117
CELBRIDGE LEA-4,KILDARE,67
ENNISTIMON LEA-4,CLARE,61
KENMARE LEA-6,KERRY,47
TRIM LEA-6,MEATH,153
